model,layers,experts_per_layer,requested_residency_pct,actual_residency_pct,pack_size,estimated_pack_bytes,coverage_general_explanation_pct,coverage_software_coding_pct,coverage_formal_reasoning_pct,coverage_science_factual_pct,coverage_creative_language_pct,coverage_instruction_safety_pct
Qwen1.5-MoE,24,60,12.5,13.33,8,857866240,28.71,27.63,25.71,27.69,27.34,27.98
Qwen1.5-MoE,24,60,25.0,25.0,15,1608499200,45.94,44.85,41.43,44.53,43.66,45.04
Qwen1.5-MoE,24,60,37.5,38.33,23,2466365440,62.26,60.77,56.75,60.39,59.67,60.97
Qwen1.5-MoE,24,60,50.0,50.0,30,3216998400,73.81,72.53,67.99,71.49,71.05,72.45
DeepSeek-Coder-V2-Lite,26,64,12.5,12.5,8,1190920192,32.3,32.81,27.5,30.23,31.29,33.22
DeepSeek-Coder-V2-Lite,26,64,25.0,25.0,16,2381840384,53.75,54.48,45.67,51.19,51.12,53.81
DeepSeek-Coder-V2-Lite,26,64,37.5,37.5,24,3572760576,69.43,70.6,59.12,67.96,66.67,68.5
DeepSeek-Coder-V2-Lite,26,64,50.0,50.0,32,4763680768,80.27,82.05,72.02,79.59,78.25,79.69
Qwen2-57B-A14B,28,64,12.5,12.5,8,3733094400,36.94,35.95,35.28,36.47,35.77,35.92
Qwen2-57B-A14B,28,64,25.0,25.0,16,7466188800,57.43,55.42,53.07,55.4,53.77,54.59
Qwen2-57B-A14B,28,64,37.5,37.5,24,11199283200,71.48,69.65,65.78,68.69,67.32,67.77
Qwen2-57B-A14B,28,64,50.0,50.0,32,14932377600,81.17,79.79,75.53,78.57,77.29,77.76
