model_id,trial,returncode,timed_out,budget_exceeded,peak_gpu_memory_mb,elapsed_s,prompt_tps,generation_tps,cache_hits,cache_misses,cache_hit_rate_pct,bytes_transferred_mb,has_evm_counters,summary_json,log,valid_trials,trials,generation_tps_mean,generation_tps_std,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_max,hit_rate_pct,bytes_transferred_mb_mean
qwen15_moe,1,0,False,False,4874,19.12,40.5,27.2,7192,9422,43.29,12770.14,True,.\results\controlled_final\fusion_aware_trials\qwen15_moe_fusion_aware_trial_01.json,.\results\budgeted_runs\qwen15_moe_fusion_aware_trial_01.log,,,,,,,,
qwen15_moe,2,0,False,False,4874,4.27,40.8,44.2,7192,9422,43.29,12770.14,True,.\results\controlled_final\fusion_aware_trials\qwen15_moe_fusion_aware_trial_02.json,.\results\budgeted_runs\qwen15_moe_fusion_aware_trial_02.log,,,,,,,,
qwen15_moe,3,0,False,False,4874,4.22,46.4,44.3,7192,9422,43.29,12770.14,True,.\results\controlled_final\fusion_aware_trials\qwen15_moe_fusion_aware_trial_03.json,.\results\budgeted_runs\qwen15_moe_fusion_aware_trial_03.log,,,,,,,,
deepseek_coder_v2_lite,1,0,False,False,6198,25.44,27.4,26.2,8099,10061,44.6,17285.98,True,.\results\controlled_final\fusion_aware_trials\deepseek_coder_v2_lite_fusion_aware_trial_01.json,.\results\budgeted_runs\deepseek_coder_v2_lite_fusion_aware_trial_01.log,,,,,,,,
deepseek_coder_v2_lite,2,0,False,False,6198,5.73,26.2,19.9,8099,10061,44.6,17285.98,True,.\results\controlled_final\fusion_aware_trials\deepseek_coder_v2_lite_fusion_aware_trial_02.json,.\results\budgeted_runs\deepseek_coder_v2_lite_fusion_aware_trial_02.log,,,,,,,,
deepseek_coder_v2_lite,3,0,False,False,6198,5.72,27.9,22.5,8099,10061,44.6,17285.98,True,.\results\controlled_final\fusion_aware_trials\deepseek_coder_v2_lite_fusion_aware_trial_03.json,.\results\budgeted_runs\deepseek_coder_v2_lite_fusion_aware_trial_03.log,,,,,,,,
qwen2_57b_a14b,1,0,False,False,19606,108.8,0.8,2.0,10969,7937,58.02,41320.78,True,.\results\controlled_final\fusion_aware_trials\qwen2_57b_a14b_fusion_aware_trial_01.json,.\results\budgeted_runs\qwen2_57b_a14b_fusion_aware_trial_01.log,,,,,,,,
qwen2_57b_a14b,2,0,False,False,19491,108.71,0.8,1.6,10969,7937,58.02,41320.78,True,.\results\controlled_final\fusion_aware_trials\qwen2_57b_a14b_fusion_aware_trial_02.json,.\results\budgeted_runs\qwen2_57b_a14b_fusion_aware_trial_02.log,,,,,,,,
qwen2_57b_a14b,3,0,False,False,19431,104.44,1.0,2.1,10969,7937,58.02,41320.78,True,.\results\controlled_final\fusion_aware_trials\qwen2_57b_a14b_fusion_aware_trial_03.json,.\results\budgeted_runs\qwen2_57b_a14b_fusion_aware_trial_03.log,,,,,,,,
qwen15_moe,summary,,,,,,,,21576,28266,,,,,,3,3,38.57,9.84,4874,4874,43.29,12770.14
deepseek_coder_v2_lite,summary,,,,,,,,24297,30183,,,,,,3,3,22.87,3.17,6198,6198,44.60,17285.98
qwen2_57b_a14b,summary,,,,,,,,32907,23811,,,,,,3,3,1.90,0.26,19509,19606,58.02,41320.78
