pack_size,task,pass,returncode,output_sha256,output_bytes
16,arithmetic,True,0,598a259a549c28ef79654f040ddfe15b9a585f9e02a139376776982bfe51e732,1052
16,geography,True,0,bb55168ed3c96ca294e27c80619e40f16d37cec90ac6e608642c19eeec56c0f7,1096
16,chemistry,False,0,7b37db2a1899bb0243f12e6b892ba4bd173b78a1d7124b45554197b9cde67846,1100
16,complexity,True,0,38dcfcd9da7d4b917eb1102210f3a8f3abc884f84a4b954a04a730436bf913c6,1100
16,antonym,True,0,be8ebaaf48c9314a8c0c767c1c5ed2412dad90cccbd020ed15ffe7d04d85b74d,1078
24,arithmetic,True,0,6ab8f73e09fbf4bdd322c1cb9d3ccc6e7aa77672120f06052afe51e977159d04,1038
24,geography,True,0,247dc35ccaabc74afc33bc242a3486d340a5d529a6856135c1cb565527dc00b2,1095
24,chemistry,True,0,7de574e9346b163accbf471e662ee399f2d0f81c7be55ddd8ecd5b253e8fed15,1094
24,complexity,True,0,dab447708697c38149d65c04df53ff4d922572a41b63551acaf6f1aa9c0970f8,1082
24,antonym,True,0,c69ea1d05f647949e6ebed77573d7597387d6619ca70cc55b8758347846d9e78,1093
