capacity,policy,prefetch_budget,hits,misses,hit_rate,prefetches,modeled_stall_ms
8,LRU,0,2227,7637,0.2257704785077048,0,21820.0
8,Learned3to17,0,2774,7090,0.28122465531224655,0,20257.14285714286
8,Oracle,0,4027,5837,0.4082522303325223,0,16677.14285714286
12,LRU,0,3078,6786,0.31204379562043794,0,19388.571428571428
12,Learned3to17,0,3577,6287,0.36263179237631793,0,17962.857142857145
12,Oracle,0,4677,5187,0.4741484184914842,0,14820.0
16,LRU,0,3703,6161,0.37540551500405517,0,17602.857142857145
16,Learned3to17,0,4086,5778,0.4142335766423358,0,16508.571428571428
16,Oracle,0,5012,4852,0.508110300081103,0,13862.857142857143
20,LRU,0,4046,5818,0.4101784266017843,0,16622.857142857145
20,Learned3to17,0,4501,5363,0.4563057583130576,0,15322.857142857143
20,Oracle,0,5165,4699,0.5236212489862125,0,13425.714285714286
24,LRU,0,4408,5456,0.4468775344687753,0,15588.57142857143
24,Learned3to17,0,4769,5095,0.4834752635847526,0,14557.142857142857
24,Oracle,0,5205,4659,0.527676399026764,0,13311.428571428572
30,LRU,0,4826,5038,0.48925385239253855,0,14394.285714285714
30,Learned3to17,0,5015,4849,0.5084144363341444,0,13854.285714285714
30,Oracle,0,5208,4656,0.5279805352798054,0,13302.857142857143
40,LRU,0,5158,4706,0.522911597729116,0,13445.714285714286
40,Learned3to17,0,5189,4675,0.5260543390105434,0,13357.142857142857
40,Oracle,0,5208,4656,0.5279805352798054,0,13302.857142857143
50,LRU,0,5208,4656,0.5279805352798054,0,13302.857142857143
50,Learned3to17,0,5208,4656,0.5279805352798054,0,13302.857142857143
50,Oracle,0,5208,4656,0.5279805352798054,0,13302.857142857143
